date,Close,High,Low,Open,Volume,MA5,MA20,RSI,MACD,sentiment_neg,sentiment_neu,sentiment_pos
2020-01-30,0.0400158625686939,0.034760415843834,0.0386019695437363,0.0369570476170134,0.4585653663323764,0.0242294861553726,0.0052352097384704,0.8287808586462118,0.5021314525639593,0.1923026889562606,0.7799617350101471,0.0277355862781405
2020-01-31,0.041412743501817,0.0350599553860712,0.0406973737847906,0.0380440270871565,0.2332907416713971,0.0267307245904433,0.0069346401357324,0.8476547683123943,0.5059538433894437,0.6978546977043152,0.2811141610145569,0.0210311152040958
2020-02-03,0.0599371971937211,0.0538714428754667,0.0466141585363418,0.0428751700356772,0.764765844199972,0.0332056505960362,0.0095341181943757,0.8915661149574325,0.517552248817324,0.0183568019419908,0.0586042664945125,0.923038899898529
2020-02-04,0.0752599822284393,0.079706514147869,0.0697559993399875,0.0728844880223799,1.0,0.042544385202823,0.0128936383002898,0.921068928293456,0.5335479513993199,0.1076931082643568,0.6090383660048246,0.283268510363996
2020-02-05,0.0534537084224964,0.0623263001623985,0.051028656819581,0.0643235082492765,0.7878046778937745,0.0470279459363435,0.014942735801888,0.6864973256010026,0.5346825507623161,0.2345037946943193,0.64515714161098,0.1203390499576926
2020-02-06,0.0554946509856119,0.0552405528290473,0.0485594811156311,0.0466365484737695,0.6429557256961329,0.050182568424224,0.016923797541896,0.7016074401001553,0.5358015658613576,0.013233539648354,0.4518583007156849,0.5349081754684448
2020-02-07,0.0553672701988652,0.0515556828668228,0.0547648933402866,0.051028898674101,0.2560820282854753,0.0530265419020269,0.0189813032635298,0.7044614680001501,0.5358371843153563,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-10,0.0586891619465386,0.0586541474930199,0.0579974747965615,0.0609880236477093,0.3853779026590625,0.0527721886574198,0.021242453474653,0.6966707250853964,0.5367072923541252,0.4152740215261777,0.5647358670830727,0.0199901772042115
2020-02-11,0.0591328408396069,0.0534998521483329,0.0588056201606302,0.0565125115709678,0.165099998847041,0.0494854299318574,0.0231672042622741,0.6848726692377011,0.5368163306815334,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-12,0.0581181022667236,0.0543815089947581,0.0595805782785568,0.0578145877779841,0.1706104646628239,0.0504360470807583,0.0249365220436386,0.6732926649109945,0.5356159421596218,0.3333333333333333,0.3333333333333333,0.3333333333333333
2020-02-13,0.0633721543356226,0.0583729764754781,0.0554864496366653,0.0526478844016603,0.412508045280091,0.0520415053729033,0.0271388158179818,0.7055993715769994,0.5364633449537434,0.017875135410577,0.6334831714630127,0.34864167496562
2020-02-14,0.0628039610101448,0.0576622875831606,0.0627742004346827,0.059155377130822,0.2328566865179078,0.0535571247764889,0.0293491322599734,0.7094775535870123,0.5360634440890355,0.0434708775331576,0.7721600929896036,0.1843690350651741
