Date,Close,High,Low,Open,Volume,MA5,MA20,RSI,MACD
2020-01-30,93.53399658203125,93.64350128173828,92.53050231933594,92.9000015258789,126548000,92.71909942626954,93.90067443847656,43.02576814208535,-0.47927165364096425
2020-01-31,100.43599700927734,102.78600311279297,100.1135025024414,102.57350158691406,311346000,94.18989868164063,94.17744941711426,68.58054709049952,0.11637253209579512
2020-02-03,100.20999908447266,102.42500305175781,100.01249694824219,100.52999877929688,117834000,95.94849853515625,94.50052452087402,66.88803605575988,0.5636908200009145
2020-02-04,102.4834976196289,102.98999786376953,100.76850128173828,101.49400329589844,105786000,97.9126983642578,94.86749954223633,75.18092282686881,1.089091745580049
2020-02-05,101.99349975585938,103.5510025024414,101.5999984741211,103.5510025024414,87524000,99.73139801025391,95.2000244140625,74.68425631550903,1.4492311967663625
2020-02-06,102.5114974975586,102.81500244140625,101.23999786376953,102.0510025024414,63660000,101.52689819335937,95.59567413330078,74.28740436094722,1.7561980373838821
2020-02-07,103.96399688720703,104.92649841308594,101.90499877929688,102.09950256347656,101906000,102.23249816894531,96.04124908447265,78.95391637887225,2.092554367670033
2020-02-10,106.69550323486328,106.77999877929688,104.24800109863281,104.25050354003906,101124000,103.52959899902343,96.66812438964844,80.4006550385813,2.550132575910453
2020-02-11,107.54000091552734,109.29750061035156,106.80000305175781,107.54499816894531,114920000,104.54089965820313,97.31687431335449,82.09742015468582,2.9469400175659075
2020-02-12,108.0,109.01249694824219,107.7645034790039,108.16000366210938,66686000,105.74219970703125,98.04327430725098,83.06047801423895,3.2609407604440435
2020-02-13,107.49349975585938,108.51399993896484,107.0999984741211,107.24949645996094,60636000,106.73860015869141,98.76289939880371,85.69589596520483,3.4293864425345646
2020-02-14,106.74349975585938,107.9520034790039,106.29450225830078,107.78399658203125,52124000,107.29450073242188,99.40522422790528,89.76469475085246,3.4624491684740235
2020-02-18,107.78350067138672,108.30349731445312,106.20549774169922,106.2509994506836,58912000,107.51210021972656,100.13259925842286,89.65437623898667,3.5318579393977245
2020-02-19,108.51100158691406,109.25499725341797,108.05599975585938,108.38999938964844,51224000,107.7063003540039,100.8281494140625,89.91359773536882,3.604023198318515
2020-02-20,107.65499877929688,108.8395004272461,106.37249755859375,108.65350341796875,62626000,107.63730010986328,101.4922492980957,85.69876196890688,3.5512063173973303
2020-02-21,104.79850006103516,107.22750091552734,104.4000015258789,107.10749816894531,92926000,107.09830017089844,102.02072448730469,63.86462278562041,3.2414871389521807
2020-02-24,100.4645004272461,101.96499633789062,99.39849853515625,100.15899658203125,130940000,105.84250030517578,102.3898494720459,50.641368272823975,2.616157474068089
2020-02-25,98.63700103759766,101.7300033569336,97.9209976196289,101.32099914550781,124382000,104.01320037841796,102.75084953308105,40.08353802167992,1.950629637459656
2020-02-26,98.97949981689453,100.7334976196289,98.02249908447266,98.51399993896484,104492000,102.10690002441406,103.06669960021972,42.17020917311038,1.4342971366139636
2020-02-27,94.21499633789062,98.75,94.13800048828125,96.71900177001953,162880000,99.41889953613281,103.13244934082032,32.342991568650575,0.6333435078643106
2020-02-28,94.1875,94.48799896240234,90.55650329589844,90.73149871826172,189620000,97.29669952392578,103.16512451171874,27.849661355690444,-0.003595293840973568
2020-03-02,97.69750213623047,97.72550201416016,93.5,95.32450103759766,135234000,96.74329986572266,103.0281997680664,30.308134436562852,-0.2225802781120052
2020-03-03,95.44950103759766,99.81649780273438,94.40450286865234,98.76850128173828,150690000,96.10579986572266,102.79017486572266,25.07165189793372,-0.5709409058151635
2020-03-04,98.79149627685547,98.9000015258789,96.0999984741211,97.32849884033203,95458000,96.06819915771484,102.60557479858399,33.03049142777445,-0.5707686616439105
2020-03-05,96.20149993896484,98.03600311279297,95.5,96.6500015258789,94964000,96.46549987792969,102.31597480773925,30.674970145445798,-0.7707386208099081
2020-03-06,95.05449676513672,95.54350280761719,93.4749984741211,93.75,105472000,96.63889923095704,101.94312477111816,30.263729780351852,-1.010125723814454
2020-03-09,90.03050231933594,93.13849639892578,88.06449890136719,88.69300079345703,156264000,95.10549926757812,101.2464500427246,23.579482812455637,-1.586942803339852
2020-03-10,94.59100341796875,94.7135009765625,90.90850067138672,93.54399871826172,142666000,94.93379974365234,100.64122505187989,31.405288681832772,-1.6569795409307488
2020-03-11,91.04299926757812,93.56600189208984,90.07499694824219,92.89250183105469,112496000,93.38410034179688,99.81637496948242,29.29813819318599,-1.97600034117211
2020-03-12,83.83049774169922,88.25,83.75,86.0989990234375,226924000,90.90989990234375,98.60789985656739,26.42879196956339,-2.778783137258415
2020-03-13,89.25,89.31549835205078,84.03099822998047,87.75,176194000,89.7490005493164,97.69572486877442,37.693547946877636,-2.9437520066096425
2020-03-16,84.4574966430664,87.97250366210938,81.30149841308594,82.07550048828125,178346000,88.6343994140625,96.58142471313477,35.39054020231646,-3.4217620494566034
2020-03-17,90.39199829101562,92.88899993896484,84.46199798583984,88.77349853515625,218342000,87.79459838867187,95.71184959411622,42.066314494177426,-3.2838693641076304
2020-03-18,91.5,92.08300018310547,87.25,87.5,192904000,87.88599853515625,94.86129951477051,47.30996740756329,-3.050023171005165
2020-03-19,94.04650115966797,97.25,91.63249969482422,93.0,207998000,89.92919921875,94.18087463378906,49.86693956978591,-2.6289125491877883
2020-03-20,92.30449676513672,97.8499984741211,91.0364990234375,96.31549835205078,196358000,90.54009857177735,93.55617446899414,44.73493688377552,-2.407986770983655
2020-03-23,95.1415023803711,95.97000122070312,90.5999984741211,91.38749694824219,156170000,92.67689971923828,93.29002456665039,49.702727046728334,-1.9811414908792813
2020-03-24,97.00499725341797,97.75,95.01699829101562,97.57499694824219,142942000,93.99949951171875,93.2084243774414,48.22505641828271,-1.4754865779518411
2020-03-25,94.29199981689453,97.51300048828125,94.28900146484375,96.03450012207031,129582000,94.55789947509766,92.9740493774414,48.10747645177506,-1.2789249849484179
2020-03-26,97.77449798583984,97.82450103759766,94.4645004272461,95.0999984741211,124426000,95.30349884033203,93.15202445983887,52.57653892328777,-0.8325429714264629
2020-03-27,95.00499725341797,96.989501953125,94.99600219726562,96.54299926757812,107758000,95.84359893798828,93.19289932250976,54.922365300947234,-0.6942546378184176
2020-03-30,98.19750213623047,98.68150329589844,95.61699676513672,96.1415023803711,122522000,96.45479888916016,93.21789932250977,53.66800963235558,-0.32332458935049146
2020-03-31,97.48600006103516,99.6510009765625,97.20050048828125,98.21749877929688,102472000,96.55099945068359,93.31972427368164,56.95412631900358,-0.08578326860802576
2020-04-01,95.38500213623047,97.24800109863281,94.6500015258789,96.64849853515625,82438000,96.76959991455078,93.14939956665039,64.01785803539397,-0.06629878318328508
2020-04-02,95.94149780273438,96.37650299072266,94.5,95.08200073242188,86720000,96.40299987792969,93.13639945983887,59.204132030540656,-0.0058848023096516044
2020-04-03,95.32949829101562,96.31649780273438,94.4574966430664,95.55750274658203,72198000,96.46790008544922,93.15014953613282,66.89773032075468,-0.007305321906898143
2020-04-06,99.87950134277344,99.9260025024414,96.5009994506836,96.80000305175781,115464000,96.8042999267578,93.6425994873047,65.40904132171599,0.35462819332843765
