date,Close,High,Low,Open,Volume,MA5,MA20,RSI,MACD,sentiment_neg,sentiment_neu,sentiment_pos
2020-01-30,0.0680334351634619,0.0580373330596185,0.0654376594306234,0.0624666431791205,0.3838536569914861,0.0553117613946609,0.049237293097599,0.4019417591263218,0.5756011724471026,0.137311480835908,0.2246444610257943,0.6380440578278568
2020-01-31,0.1081193941308961,0.1102444007141622,0.1096280246301778,0.1182910247840573,1.0,0.0642485528033669,0.0510361627369875,0.721006999634658,0.6042864908594924,0.145005197131208,0.7327799296804837,0.1222148521670273
2020-02-03,0.1068068263274106,0.1081829568164164,0.1090394090137374,0.1064982631338368,0.3547997752775272,0.0749340627428485,0.0531359551324426,0.6998750837040869,0.6258286595358674,0.0192532842047512,0.9153702408075332,0.0653764698654413
2020-02-04,0.120011022698224,0.1114092862085495,0.1134450672997637,0.1120613949541812,0.3146297997336004,0.0868688282069959,0.0555210703895796,0.8034162615586685,0.651131169331644,0.0942241488290684,0.7151282568063054,0.1906475807939257
2020-02-05,0.1171651761254453,0.1146128302347777,0.118290664518087,0.1239320423871248,0.2537413457675322,0.0979195132763555,0.0576822805510394,0.7972151114638336,0.6684749377717984,0.0607703517058065,0.7890910676547459,0.1501385918153183
2020-02-06,0.1201736425023829,0.1104099976086257,0.1161927404696422,0.1152757574975743,0.1741749201051594,0.1088292350158177,0.0602537639679053,0.7922602001110854,0.683257994126604,0.0287280332297086,0.8244551241397857,0.1468168340623378
2020-02-07,0.12860957807605,0.1224674207388392,0.1200680711574435,0.1155556443945615,0.3016932538246997,0.1131165636752332,0.0631497311383492,0.8505241272747632,0.6994564036222777,0.0218334246892482,0.8433783054351807,0.134788291528821
2020-02-10,0.1444738267856263,0.1330515935183083,0.1337220505395798,0.1279687625617792,0.2990859396750193,0.1209979380450774,0.0672240407443456,0.8685874421382801,0.7214926744635884,0.0136461220681667,0.91680046916008,0.0695534236729145
2020-02-11,0.1493785641486607,0.1474274603043419,0.1485939871841054,0.1469808186117169,0.3450840292005848,0.1271427487726947,0.0714405221150766,0.8897724725761834,0.7406023175774774,0.0187250431627035,0.9388766884803772,0.0423982180655002
2020-02-12,0.1520501815470655,0.1457999839587538,0.1542146683242812,0.1505299271166947,0.1842640922495753,0.1344420235829314,0.0761616818871917,0.901796770974618,0.7557241159713375,0.0213764936197549,0.8926893174648285,0.0859341919422149
2020-02-13,0.1491084912041518,0.1429533816205919,0.1503422275839887,0.1452755206261717,0.164092416283377,0.1404962984702141,0.0808388088995681,0.9347013898743672,0.7638362039286506,0.033774384111166,0.8350936651229859,0.1311319835484027
2020-02-14,0.1447525846025099,0.1397441739278864,0.1456481525365869,0.1483600441795985,0.1357120351553969,0.1438740316674992,0.0850135310488873,0.9855025439654792,0.7654284545438091,0.0512466728687286,0.9115387201309204,0.0372146517038345
